id,season,element,condition,score,priority,max_apply,school,version,status,description
SS001,XUAN,WOOD,IN_SEASON,20,100,1,TRADITIONAL,1.0,active,Mộc đắc lệnh mùa Xuân
SS002,XUAN,FIRE,GROWING,10,90,1,TRADITIONAL,1.0,active,Hỏa được sinh mùa Xuân
SS003,XUAN,EARTH,NEUTRAL,0,80,1,TRADITIONAL,1.0,active,Thổ bình hòa mùa Xuân
SS004,XUAN,METAL,WEAK,-10,90,1,TRADITIONAL,1.0,active,Kim suy mùa Xuân
SS005,XUAN,WATER,REMAINING_QI,5,80,1,TRADITIONAL,1.0,active,Thủy còn dư khí mùa Xuân

SS006,HA,FIRE,IN_SEASON,20,100,1,TRADITIONAL,1.0,active,Hỏa đắc lệnh mùa Hạ
SS007,HA,EARTH,GROWING,10,90,1,TRADITIONAL,1.0,active,Thổ được sinh mùa Hạ
SS008,HA,METAL,WEAK,-10,90,1,TRADITIONAL,1.0,active,Kim suy mùa Hạ
SS009,HA,WATER,DEAD,-20,100,1,TRADITIONAL,1.0,active,Thủy tử mùa Hạ
SS010,HA,WOOD,REMAINING_QI,5,80,1,TRADITIONAL,1.0,active,Mộc còn dư khí mùa Hạ

SS011,THU,EARTH,IN_SEASON,20,100,1,TRADITIONAL,1.0,active,Thổ đắc lệnh cuối Hạ
SS012,THU,METAL,GROWING,10,90,1,TRADITIONAL,1.0,active,Kim được sinh cuối Hạ

SS013,THU,METAL,IN_SEASON,20,100,1,TRADITIONAL,1.0,active,Kim đắc lệnh mùa Thu
SS014,THU,WATER,GROWING,10,90,1,TRADITIONAL,1.0,active,Thủy được sinh mùa Thu
SS015,THU,WOOD,DEAD,-20,100,1,TRADITIONAL,1.0,active,Mộc tử mùa Thu

SS016,DONG,WATER,IN_SEASON,20,100,1,TRADITIONAL,1.0,active,Thủy đắc lệnh mùa Đông
SS017,DONG,WOOD,GROWING,10,90,1,TRADITIONAL,1.0,active,Mộc được sinh mùa Đông
SS018,DONG,FIRE,DEAD,-20,100,1,TRADITIONAL,1.0,active,Hỏa tử mùa Đông
