rule_id,luck_type,condition,title,meaning,career,wealth,relationship,warning,recommendation,score

LU001,Đại Vận,dai_van=dung_than,Đại vận gặp Dụng Thần,"Giai đoạn vận khí hỗ trợ mệnh cục, khả năng phát triển năng lực tăng cao","Sự nghiệp dễ gặp cơ hội, được hỗ trợ hoặc phát huy sở trường","Tài vận có xu hướng mở rộng nếu đi đúng hướng","Quan hệ xã hội và gia đình dễ có sự hỗ trợ","Không nên chủ quan vì vận tốt vẫn cần hành động","Tận dụng thời cơ để xây dựng nền tảng lâu dài",95

LU002,Đại Vận,dai_van=ky_than,Đại vận gặp Kỵ Thần,"Giai đoạn thử thách do yếu tố bất lợi tăng lên","Cần thận trọng trong thay đổi nghề nghiệp hoặc đầu tư","Dòng tiền có thể biến động","Quan hệ cần sự nhẫn nhịn và điều chỉnh","Dễ đưa ra quyết định sai do áp lực","Ưu tiên ổn định, giảm rủi ro, tích lũy nội lực",65

LU003,Đại Vận,TaiTinh=true AND than_vuong=true,Tài vận mở trong Đại vận,"Vận khí kích hoạt khả năng tạo tài sản","Có cơ hội mở rộng kinh doanh, tăng thu nhập","Phù hợp phát triển nguồn vốn và tài sản","Gia đình hưởng lợi từ sự phát triển","Tránh mở rộng quá nhanh","Quản lý tốt dòng tiền và hệ thống",90

LU004,Đại Vận,TaiTinh=true AND than_nhuoc=true,Tài đến nhưng áp lực,"Có cơ hội tài chính nhưng năng lực gánh vác cần được nâng cao","Có thể xuất hiện cơ hội nhưng đi kèm trách nhiệm lớn","Không nên đầu tư vượt khả năng","Dễ tạo áp lực cho gia đình","Cần củng cố nền tảng trước",70

LU005,Đại Vận,QuanTinh=true,Sự nghiệp gặp Quan vận,"Quan tinh kích hoạt trách nhiệm, địa vị và danh tiếng","Có cơ hội thăng tiến, nhận vai trò lớn","Thu nhập đến từ vị trí và uy tín","Gia đình cần sự cân bằng vì công việc nhiều","Áp lực trách nhiệm tăng","Rèn luyện năng lực quản trị",88

LU006,Đại Vận,SatTinh=true,Thất Sát kích hoạt,"Giai đoạn nhiều thử thách nhưng cũng tạo đột phá","Có thể phát triển mạnh trong môi trường cạnh tranh","Có cơ hội lớn nhưng đi kèm rủi ro","Cần tránh để công việc ảnh hưởng gia đình","Dễ căng thẳng, nóng vội","Dùng tri thức và kỷ luật để kiểm soát",78

LU007,Đại Vận,AnTinh=true,Ấn vận hỗ trợ,"Giai đoạn học tập, tích lũy tri thức và được quý nhân hỗ trợ","Phù hợp nghiên cứu, nâng cấp chuyên môn","Tài vận đến gián tiếp qua năng lực","Gia đình tương đối ổn định","Dễ chậm phát triển vật chất nếu chỉ học","Biến tri thức thành giá trị thực tế",85

LU008,Đại Vận,ThucThan=true,Thực Thần sinh tài,"Giai đoạn thuận lợi để tạo giá trị từ năng lực cá nhân","Phù hợp sáng tạo, kinh doanh dịch vụ","Có thể tăng thu nhập từ sản phẩm hoặc kỹ năng","Quan hệ xã hội tốt hơn","Dễ hưởng thụ quá mức","Tập trung xây dựng thương hiệu cá nhân",88

LU009,Lưu Niên,luu_nien=dung_than,Năm gặp Dụng Thần,"Năm có yếu tố hỗ trợ mệnh cục","Dễ xuất hiện cơ hội phát triển","Có thể cải thiện tài chính nếu hành động đúng","Quan hệ có xu hướng thuận lợi","Không nên bỏ qua thời cơ","Chủ động nắm bắt cơ hội",90

LU010,Lưu Niên,luu_nien=ky_than,Năm gặp Kỵ Thần,"Năm cần chú ý điều chỉnh và phòng thủ","Không nên quyết định quá mạo hiểm","Cần kiểm soát chi tiêu và đầu tư","Quan hệ cần tránh xung đột","Dễ phát sinh áp lực","Ưu tiên ổn định và hóa giải bất lợi",65

LU011,Lưu Niên,tai_sinh_quan=true,Tài sinh Quan trong năm,"Tài vận tạo ra cơ hội nâng cao vị thế","Có khả năng phát triển sự nghiệp thông qua tài chính","Thu nhập gắn với trách nhiệm lớn hơn","Gia đình có thể hưởng lợi","Áp lực công việc tăng","Cân bằng sự nghiệp và gia đình",88

LU012,Lưu Niên,dao_hoa=true,Năm đào hoa,"Năm tăng khả năng giao tiếp, kết nối và nhân duyên","Thuận lợi cho quan hệ khách hàng","Có thể mở rộng mạng lưới tạo tài lộc","Tình cảm dễ có biến động","Cần giữ sự rõ ràng trong quan hệ","Dùng năng lượng giao tiếp đúng hướng",75

LU013,Lưu Niên,xung_menh=true,Năm có xung động,"Năm có biến động, thay đổi môi trường hoặc kế hoạch","Có thể xuất hiện thay đổi công việc","Cần quản lý rủi ro tài chính","Quan hệ dễ có va chạm","Không nên hành động nóng vội","Lấy thay đổi làm cơ hội điều chỉnh",60

LU014,Lưu Niên,hop_menh=true,Năm có hợp khí,"Năm có yếu tố kết nối và hỗ trợ","Dễ gặp người hỗ trợ, hợp tác thuận lợi","Có cơ hội mở rộng nguồn lực","Quan hệ tình cảm dễ cải thiện","Tránh phụ thuộc quá mức","Tận dụng hợp tác nhưng giữ chủ động",85
