id,ma,thu_tu,can,chi,hoa_giap,chu_ky,ghi_chu
1,DG001,1,Giáp,Tý,Giáp Tý,1,Ngày Can Chi
2,DG002,2,Ất,Sửu,Ất Sửu,2,
3,DG003,3,Bính,Dần,Bính Dần,3,
4,DG004,4,Đinh,Mão,Đinh Mão,4,
5,DG005,5,Mậu,Thìn,Mậu Thìn,5,
6,DG006,6,Kỷ,Tỵ,Kỷ Tỵ,6,
7,DG007,7,Canh,Ngọ,Canh Ngọ,7,
8,DG008,8,Tân,Mùi,Tân Mùi,8,
9,DG009,9,Nhâm,Thân,Nhâm Thân,9,
10,DG010,10,Quý,Dậu,Quý Dậu,10,
11,DG011,11,Giáp,Tuất,Giáp Tuất,11,
12,DG012,12,Ất,Hợi,Ất Hợi,12,
13,DG013,13,Bính,Tý,Bính Tý,13,
14,DG014,14,Đinh,Sửu,Đinh Sửu,14,
15,DG015,15,Mậu,Dần,Mậu Dần,15,
16,DG016,16,Kỷ,Mão,Kỷ Mão,16,
17,DG017,17,Canh,Thìn,Canh Thìn,17,
18,DG018,18,Tân,Tỵ,Tân Tỵ,18,
19,DG019,19,Nhâm,Ngọ,Nhâm Ngọ,19,
20,DG020,20,Quý,Mùi,Quý Mùi,20,
21,DG021,21,Giáp,Thân,Giáp Thân,21,
22,DG022,22,Ất,Dậu,Ất Dậu,22,
23,DG023,23,Bính,Tuất,Bính Tuất,23,
24,DG024,24,Đinh,Hợi,Đinh Hợi,24,
25,DG025,25,Mậu,Tý,Mậu Tý,25,
26,DG026,26,Kỷ,Sửu,Kỷ Sửu,26,
27,DG027,27,Canh,Dần,Canh Dần,27,
28,DG028,28,Tân,Mão,Tân Mão,28,
29,DG029,29,Nhâm,Thìn,Nhâm Thìn,29,
30,DG030,30,Quý,Tỵ,Quý Tỵ,30,
31,DG031,31,Giáp,Ngọ,Giáp Ngọ,31,
32,DG032,32,Ất,Mùi,Ất Mùi,32,
33,DG033,33,Bính,Thân,Bính Thân,33,
34,DG034,34,Đinh,Dậu,Đinh Dậu,34,
35,DG035,35,Mậu,Tuất,Mậu Tuất,35,
36,DG036,36,Kỷ,Hợi,Kỷ Hợi,36,
37,DG037,37,Canh,Tý,Canh Tý,37,
38,DG038,38,Tân,Sửu,Tân Sửu,38,
39,DG039,39,Nhâm,Dần,Nhâm Dần,39,
40,DG040,40,Quý,Mão,Quý Mão,40,
41,DG041,41,Giáp,Thìn,Giáp Thìn,41,
42,DG042,42,Ất,Tỵ,Ất Tỵ,42,
43,DG043,43,Bính,Ngọ,Bính Ngọ,43,
44,DG044,44,Đinh,Mùi,Đinh Mùi,44,
45,DG045,45,Mậu,Thân,Mậu Thân,45,
46,DG046,46,Kỷ,Dậu,Kỷ Dậu,46,
47,DG047,47,Canh,Tuất,Canh Tuất,47,
48,DG048,48,Tân,Hợi,Tân Hợi,48,
49,DG049,49,Nhâm,Tý,Nhâm Tý,49,
50,DG050,50,Quý,Sửu,Quý Sửu,50,
51,DG051,51,Giáp,Dần,Giáp Dần,51,
52,DG052,52,Ất,Mão,Ất Mão,52,
53,DG053,53,Bính,Thìn,Bính Thìn,53,
54,DG054,54,Đinh,Tỵ,Đinh Tỵ,54,
55,DG055,55,Mậu,Ngọ,Mậu Ngọ,55,
56,DG056,56,Kỷ,Mùi,Kỷ Mùi,56,
57,DG057,57,Canh,Thân,Canh Thân,57,
58,DG058,58,Tân,Dậu,Tân Dậu,58,
59,DG059,59,Nhâm,Tuất,Nhâm Tuất,59,
60,DG060,60,Quý,Hợi,Quý Hợi,60,
