id,month_index,month_branch,month_branch_index,start_term,end_term,start_term_index,end_term_index,month_stem_rule,season,description
1,1,Dần,2,Lập Xuân,Kinh Trập,0,2,Ngũ Hổ Độn,Xuân,Tháng đầu tiên của năm Bát Tự bắt đầu từ Lập Xuân
2,2,Mão,3,Kinh Trập,Thanh Minh,2,4,Ngũ Hổ Độn,Xuân,Tháng thứ hai của mùa Xuân
3,3,Thìn,4,Thanh Minh,Lập Hạ,4,6,Ngũ Hổ Độn,Xuân,Tháng cuối mùa Xuân
4,4,Tỵ,5,Lập Hạ,Mang Chủng,6,8,Ngũ Hổ Độn,Hạ,Tháng đầu mùa Hạ
5,5,Ngọ,6,Mang Chủng,Tiểu Thử,8,10,Ngũ Hổ Độn,Hạ,Tháng giữa mùa Hạ
6,6,Mùi,7,Tiểu Thử,Lập Thu,10,12,Ngũ Hổ Độn,Hạ,Tháng cuối mùa Hạ
7,7,Thân,8,Lập Thu,Bạch Lộ,12,14,Ngũ Hổ Độn,Thu,Tháng đầu mùa Thu
8,8,Dậu,9,Bạch Lộ,Hàn Lộ,14,16,Ngũ Hổ Độn,Thu,Tháng giữa mùa Thu
9,9,Tuất,10,Hàn Lộ,Lập Đông,16,18,Ngũ Hổ Độn,Thu,Tháng cuối mùa Thu
10,10,Hợi,11,Lập Đông,Đại Tuyết,18,20,Ngũ Hổ Độn,Đông,Tháng đầu mùa Đông
11,11,Tý,0,Đại Tuyết,Tiểu Hàn,20,22,Ngũ Hổ Độn,Đông,Tháng giữa mùa Đông
12,12,Sửu,1,Tiểu Hàn,Lập Xuân,22,0,Ngũ Hổ Độn,Đông,Tháng cuối mùa Đông
