id,code,index,name_vi,name_han,name_en,solar_longitude,month_branch,is_major,order
1,LC,0,Lập Xuân,立春,Beginning of Spring,315,Dần,1,1
2,VT,1,Vũ Thủy,雨水,Rain Water,330,Dần,0,2
3,KT,2,Kinh Trập,驚蟄,Awakening of Insects,345,Mão,1,3
4,XP,3,Xuân Phân,春分,Spring Equinox,0,Mão,0,4
5,TM,4,Thanh Minh,清明,Clear and Bright,15,Thìn,1,5
6,CV,5,Cốc Vũ,穀雨,Grain Rain,30,Thìn,0,6
7,LH,6,Lập Hạ,立夏,Beginning of Summer,45,Tỵ,1,7
8,TMN,7,Tiểu Mãn,小滿,Grain Full,60,Tỵ,0,8
9,MC,8,Mang Chủng,芒種,Grain in Ear,75,Ngọ,1,9
10,HC,9,Hạ Chí,夏至,Summer Solstice,90,Ngọ,0,10
11,TT,10,Tiểu Thử,小暑,Minor Heat,105,Mùi,1,11
12,DT,11,Đại Thử,大暑,Major Heat,120,Mùi,0,12
13,LT,12,Lập Thu,立秋,Beginning of Autumn,135,Thân,1,13
14,XT,13,Xử Thử,處暑,Limit of Heat,150,Thân,0,14
15,BL,14,Bạch Lộ,白露,White Dew,165,Dậu,1,15
16,TP,15,Thu Phân,秋分,Autumn Equinox,180,Dậu,0,16
17,HL,16,Hàn Lộ,寒露,Cold Dew,195,Tuất,1,17
18,SG,17,Sương Giáng,霜降,Frost Descent,210,Tuất,0,18
19,LD,18,Lập Đông,立冬,Beginning of Winter,225,Hợi,1,19
20,TTY,19,Tiểu Tuyết,小雪,Minor Snow,240,Hợi,0,20
21,DTY,20,Đại Tuyết,大雪,Major Snow,255,Tý,1,21
22,DC,21,Đông Chí,冬至,Winter Solstice,270,Tý,0,22
23,TH,22,Tiểu Hàn,小寒,Minor Cold,285,Sửu,1,23
24,DH,23,Đại Hàn,大寒,Major Cold,300,Sửu,0,24
